source,target
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do lang en wildcard{weight=1}
(@sureyes),fuzzybot do weather error *{weight=100}
fuzzybot do first message,fuzzybot do weather error *{weight=100}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do save location *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do save location *
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do weather error *{weight=100}
fuzzybot do lang unknown wildcard{weight=1},fuzzybot do weather error *{weight=100}
[*] (@forecast) [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
fuzzybot do daily update eval preference *,fuzzybot do daily update 1
fuzzybot do lang en wildcard{weight=1},[*] (@whatrequest) [*] (weather|temp|temperature) [*] (@tomorrowterms){weight=5}
fuzzybot do is a [*] @sure [*],fuzzybot do save location *
(5day|5 day|5-day) forecast{weight=100},fuzzybot do weather error *{weight=100}
fuzzybot do is a [*] @yes [*],fuzzybot do weather error *{weight=100}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a *
*,fuzzybot do onboarding ask user location
[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5},* (weather|temp|temperature){weight=5}
[*] (@whatrequest) [*] (weather|temp|temperature) [*] (@tomorrowterms){weight=5},[*] (@whatrequest) [*] (weather|temp|temperature) [*] (@tomorrowterms){weight=5}
[*] (@whatrequest) [*] (@forecast) [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do onboarding complete *
(@forecast){weight=5},fuzzybot do weather error *{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather error *{weight=100}
fuzzybot do onboarding complete *,[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a [*] @yes [*],fuzzybot do is a [*] @yes [*]
fuzzybot do is a *,[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
(@forecast){weight=5},(5day|5 day|5-day) forecast{weight=100}
