source,target
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do daily update eval preference *
fuzzybot do is a [*] @sure [*],[*] weathercat [*]
(@bye),fuzzybot do weather error *{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather convert temp{weight=100}
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],fuzzybot do notification change and *
fuzzybot do first message,fuzzybot do weather convert temp{weight=100}
[*] (@whatrequest) [*] (@forecast){weight=5},(5day|5 day|5-day) forecast{weight=100}
fuzzybot do weather convert temp{weight=100},fuzzybot do weather convert temp{weight=100}
* (@forecast){weight=5},fuzzybot do lang en wildcard{weight=1}
fuzzybot do save location *,[*] (purr|puurr|meow|roar|mew) [*]
[*] what is your name [*],fuzzybot do lang en wildcard{weight=1}
*,[*] i (like|love) (u|you|me|us) [*]
[*] i (like|love) (u|you|me|us) [*],fuzzybot do weather error *{weight=100}
[*] weathercat [*],fuzzybot do daily update eval preference *
fuzzybot do make nice username{weight=1000},fuzzybot do onboarding complete *
[*] (@whatrequest) [*] (@forecast){weight=5},[*] (@whatrequest) [*] (@forecast){weight=5}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do is a [*] @cancel [*]{weight=1000}
fuzzybot do make nice username{weight=1000},fuzzybot do weather error *{weight=100}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a [*] @cancel [*]{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5}
[*] (horoscope|astrology|astrological) [*],fuzzybot do lang en wildcard{weight=1}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do weather error *{weight=100}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},(great|cool|awesome|ok|okay)
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do onboarding ask user location
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
fuzzybot do is a [*] @sure [*],fuzzybot do daily update 1
(who|what) are you,fuzzybot do lang en wildcard{weight=1}
[*] (@forecast) [@nearplace] *{weight=5},(great|cool|awesome|ok|okay)
(who|what) are you,fuzzybot do weather error *{weight=100}
[*] (@goodbye) [*]{weight=1},[*] (purr|puurr|meow|roar|mew) [*]
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},(@sureyes)
(will|is) [*] (@allweatherterms) [*] (@dayabbvterms) [day]{weight=30},fuzzybot do lang en wildcard{weight=1}
[*] (@goodbye) [*]{weight=1},fuzzybot do weather convert temp{weight=100}
(@sureyes),[*] (purr|puurr|meow|roar|mew) [*]
[*] (@hello) [*],(@sureyes)
tell me a [funny] joke,fuzzybot do weather error *{weight=100}
(@sureyes),fuzzybot do weather convert temp{weight=100}
fuzzybot do onboarding complete *,fuzzybot do weather in * with facebook buttons{weight=100}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
(will|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do lang en wildcard{weight=1}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a [*] @sure [*]
[*] [current] location,fuzzybot do lang en wildcard{weight=1}
fuzzybot do pollen high,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] where do you live [*],fuzzybot do lang en wildcard{weight=1}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do make nice username{weight=1000}
[*] wtf [*],fuzzybot do lang en wildcard{weight=1}
(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat),i want that recipe
hourly forecast{weight=100},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do make nice username{weight=1000}
hourly forecast{weight=100},fuzzybot do weather convert temp{weight=100}
hourly forecast{weight=100},(@forecast){weight=5}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do onboarding complete *
[*] (@goodbye) [*]{weight=1},[*] what [are] (u|you) (up to|doing) [*]
[*] how old are you [*],fuzzybot do lang en wildcard{weight=1}
[*] (@hello) [*],[*] (@goodbye) [*]{weight=1}
[*] what [are] (u|you) (up to|doing) [*],fuzzybot do weather error *{weight=100}
[*] i do not know [*],[*] i do not know [*]
[*] (capricorn|cap) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @yes [*]{weight=1000},fuzzybot do weather error *{weight=100}
fuzzybot do lang en wildcard{weight=1},-redirect are you sorry
hourly forecast{weight=100},fuzzybot do make nice username{weight=1000}
(@sureyes),[*] (@badwordsmiddleschool) [*]
(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat),fuzzybot do make nice username{weight=1000}
fuzzybot do make nice username{weight=1000},i want that recipe
fuzzybot do make nice username{weight=1000},fuzzybot do make nice username{weight=1000}
heck yes,fuzzybot do make nice username{weight=1000}
[*] (@whatrequest) [*] (@forecast){weight=5},fuzzybot do weather error *{weight=100}
[i am watching|i watch|im watching|i'm in to|i'm into|im into|im in to] *,fuzzybot do lang en wildcard{weight=1}
tell me a [funny] joke,(5day|5 day|5-day) forecast{weight=100}
[*] (@goodbye) [*]{weight=1},(@bye)
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do weather convert temp{weight=100}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],[*] (@badwordsinsults) [*]
[*] weathercat [*],fuzzybot do daily update 1
fuzzybot do weather error *{weight=100},[*] (@whatrequest) [*] (weather|temp|temperature) [@todayterms]{weight=5}
[*] (purr|puurr|meow|roar|mew) [*],[*] (@badwordsinsults) [*]
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},(weather|temp|temperature) (@tomorrowterms) [@hereterms]{weight=5}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(@allweatherterms) [*] [@nearplace] *{weight=20},fuzzybot do lang en wildcard{weight=1}
[*] (@goodbye) [*]{weight=1},fuzzybot do make nice username{weight=1000}
fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a *,fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (i|we|they) (dislike|hate|despise) (you|u) [*],fuzzybot do lang en wildcard{weight=1}
[*] weathercat [*],fuzzybot do daily update 2 continue
fuzzybot do lang en wildcard{weight=1},i want that recipe
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather convert temp{weight=100}
fuzzybot do save location *,fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do save location *,fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
* (@forecast){weight=5},fuzzybot do weather error *{weight=100}
(@updateword) [*] (location){weight=100},fuzzybot do lang en wildcard{weight=1}
(@updateword) [*] (location){weight=100},fuzzybot do is a [*] @yes [*]{weight=1000}
i am starving,fuzzybot do hunger topic
fuzzybot do is a *,fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
[*] i (like|love) (u|you|me|us) [*],[*] i (like|love) (u|you|me|us) [*]
fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000},fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do weather error *{weight=100}
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do lang en wildcard{weight=1}
*,[*] (purr|puurr|meow|roar|mew) [*]
got anything else,fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a *{weight=1000},fuzzybot do lang en wildcard{weight=1}
*,date me [*]
*,heck yes
[i am watching|i watch|im watching|i'm in to|i'm into|im into|im in to] *,heck yes
[*] (@hello) [*],fuzzybot do onboarding complete *
[*] i do not know [*],fuzzybot do lang en wildcard{weight=1}
[*] (@forecast) [@nearplace] *{weight=5},[*] (@forecast) [@nearplace] *{weight=5}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do onboarding ask user location
hourly forecast{weight=100},[*] (@whatrequest) [*] (@forecast){weight=5}
hourly forecast{weight=100},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do onboarding ask user location
meat lovers,fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000},fuzzybot do weather error *{weight=100}
fuzzybot do is a [*] @naughty [*],fuzzybot do onboarding ask user location
[*] (@hello) [*],fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (@hourlyforecast) [@nearplace] *{weight=5},hourly forecast{weight=100}
[*] can you (talk|speak|meow|purr|schnurr|sing) [*],fuzzybot do lang en wildcard{weight=1}
(@no),[*] (purr|puurr|meow|roar|mew) [*]
[*] (@goodbye) [*]{weight=1},(@no)
[*] (@outlook) [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
fuzzybot do onboarding ask user location,fuzzybot do weather convert temp{weight=100}
[*] i (like|love) (u|you|me|us) [*],(@sureyes)
i like music,fuzzybot do lang en wildcard{weight=1}
*,[i am watching|i watch|im watching|i'm in to|i'm into|im into|im in to] *
[*] i (like|love) (u|you|me|us) [*],fuzzybot do make nice username{weight=1000}
fuzzybot do notification change and *,fuzzybot do onboarding complete *
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do save location *
fuzzybot do first message,fuzzybot do first message
fuzzybot do lang en wildcard{weight=1},fuzzybot do daily update 2 continue
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@goodbye) [*]{weight=1}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do is a *{weight=1000}
fuzzybot do is a *{weight=1000},fuzzybot do make nice username{weight=1000}
i do not want to cook,fuzzybot do lang en wildcard{weight=1}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (@goodbye) [*]{weight=1}
[*] (@goodbye) [*]{weight=1},fuzzybot do onboarding complete *
fuzzybot do save location *,[*] (are you|are you a|are you an) (@dumbwords) [*]
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do make nice username{weight=1000}
i do not want to cook,i am starving
[*] (@goodbye) [*]{weight=1},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] do you (like|love) me [*],fuzzybot do lang en wildcard{weight=1}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (purr|puurr|meow|roar|mew) [*]
(@poncho),[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do is a [*] @cancel [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do lang en wildcard{weight=1},yes
*,fuzzybot do weather convert temp{weight=100}
(great|cool|awesome|ok|okay),(great|cool|awesome|ok|okay)
fuzzybot do is a *,(what|really)
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@badwordsinsults) [*]
[*] (@badwordsinsults) [*],[*] (@badwordsinsults) [*]
*,[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10}
fuzzybot do save location *,fuzzybot do help
[*] (facebook|instagram) [*],fuzzybot do lang en wildcard{weight=1}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do weather convert temp{weight=100}
hourly forecast{weight=100},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20}
fuzzybot do first message,(@bye)
(@sureyes),fuzzybot do is a *{weight=1000}
*,(@no)
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do make nice username{weight=1000}
[*] (@hello) [*],fuzzybot do weather convert temp{weight=100}
[*] [referral|referal|refer|promo] (code|codes) [*],fuzzybot do lang en wildcard{weight=1}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@hello) [*]
[*] (@goodbye) [*]{weight=1},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
tell me a [funny] joke,tell me a [funny] joke
[*] (hm|hmm|hrm|hrmm|hmmm) [*],[*] (hm|hmm|hrm|hrmm|hmmm) [*]
[*] (@forecast) [@nearplace] *{weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},fuzzybot do save location *
[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*],fuzzybot do weather error *{weight=100}
[*] (@hello) [*],[*] (purr|puurr|meow|roar|mew) [*]
[*] what is your name [*],fuzzybot do weather error *{weight=100}
fuzzybot do pollen high,fuzzybot do weather convert temp{weight=100}
fuzzybot do hunger topic,fuzzybot do weather error *{weight=100}
fuzzybot do save location *,fuzzybot do make nice username{weight=1000}
[*] (are you|are you a) (@cat) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do onboarding complete *,fuzzybot do onboarding complete *
[*] (@whatrequest) [*] (@forecast) [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
(@no),fuzzybot do make nice username{weight=1000}
[*] sorry [*],[*] (@badwordsinsults) [*]
fuzzybot do is a *,fuzzybot do weather in * with facebook buttons{weight=100}
(what|really),fuzzybot do make nice username{weight=1000}
hourly forecast{weight=100},fuzzybot do is a *
fuzzybot do notification change and *,fuzzybot do lang en wildcard{weight=1}
[*] (@hello) [*],[*] (@badwordsinsults) [*]
fuzzybot do is a *,fuzzybot do is a *{weight=1000}
*,[*] what is up [*]
*,(who|what) are you
fuzzybot do you full,fuzzybot do hunger topic
i am starving,fuzzybot do you full
(@no),yes
(@sureyes),[*] (hm|hmm|hrm|hrmm|hmmm) [*]
*,[*] sorry [*]
5-day forecast,5-day forecast
more info,[*] (@hello) [*]
more info,fuzzybot do lang en wildcard{weight=1}
fuzzybot do first message,@sureyes{weight=2}
(@sureyes),@sureyes{weight=2}
hourly forecast{weight=100},@sureyes{weight=2}
*,[*] (@exit) [*]
[*] (@hello) [*],(@no)
@sureyes{weight=2},@no{weight=2}
[*] (@hello) [*],fuzzybot do is a *{weight=1000}
fuzzybot do location was saved,more info
fuzzybot do help{weight=1000},(@no)
more info,@no{weight=2}
*,(@bye)
(@no),fuzzybot do hahaha
fuzzybot do location was saved,@sureyes{weight=2}
*,[*] (@hello) [*]
more info,fuzzybot do help{weight=1000}
*,fuzzybot do weather convert temp{weight=1000}
*,i want that recipe
fuzzybot do help{weight=1000},[*] (@hello) [*]
*,fuzzybot do is a *{weight=1000}
*,fuzzybot do location was saved
(great|cool|awesome|ok|okay),@sureyes{weight=2}
i do not want to cook,fuzzybot do you full
*{weight=1},*{weight=1}
*,*{weight=1}
*,fuzzybot do fallback forecast{weight=500}
*,[*] (@helpword) [*]{weight=200}
yeah i am sorry,-redirect are you sorry
fuzzybot do pollen high,fuzzybot do weather error *{weight=100}
*,(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
(great|cool|awesome|ok|okay),[*] weathercat [*]
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do first message
-redirect jigglypuff gifs,fuzzybot do lang en wildcard{weight=1}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
i work out a lot,fuzzybot do lang en wildcard{weight=1}
hourly forecast{weight=100},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@whatrequest) [*] (@forecast){weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
fuzzybot do notification change and *,[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
hourly forecast{weight=100},fuzzybot do notification change and *
fuzzybot do set firsttime location{weight=200},fuzzybot do lang en wildcard{weight=1}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather error *{weight=100}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do is a *
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@badwordsinsults) [*]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do weather convert temp{weight=100}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do save location *
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},(great|cool|awesome|ok|okay)
fuzzybot do make nice username{weight=1000},fuzzybot do weather convert temp{weight=100}
fuzzybot do hunger topic,i want that recipe
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@hello) [*]
i do not want to cook,fuzzybot do hunger topic
(great|cool|awesome|ok|okay),[*] (purr|puurr|meow|roar|mew) [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (purr|puurr|meow|roar|mew) [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@hello) [*]
fuzzybot do is a *{weight=1000},[*] weathercat [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@goodbye) [*]{weight=1}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do make nice username{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do make nice username{weight=1000}
fuzzybot do is a *{weight=1000},fuzzybot do is a *{weight=1000}
fuzzybot do set firsttime location{weight=200},fuzzybot do is a *{weight=1000}
fuzzybot do save location *,fuzzybot do is a *{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@goodbye) [*]{weight=1}
fuzzybot do set firsttime location{weight=200},fuzzybot do onboarding complete *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do hahaha
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do hahaha
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do first message
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do save location *
fuzzybot do is a *{weight=1000},fuzzybot do onboarding ask user location
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5}
fuzzybot do first message,fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do is a *{weight=1000}
fuzzybot do is a [*] @sure [*]{weight=1000},fuzzybot do is a [*] @sure [*]{weight=1000}
fuzzybot do is a *{weight=1000},fuzzybot do is a [*] @sure [*]{weight=1000}
fuzzybot do is a [*] @sure [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @sure [*]{weight=1000},fuzzybot do is a [*] @no [*]{weight=1000}
fuzzybot do is a *{weight=1000},fuzzybot do is a [*] @no [*]{weight=1000}
fuzzybot do is a [*] @yes [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do weather error *{weight=100},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do is a *{weight=1000},fuzzybot do is a [*] @yes [*]{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do is a [*] @yes [*]{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do is a *{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do save location continue{weight=200}
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do save location continue{weight=200}
(great|cool|awesome|ok|okay),[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do is a [*] @yes [*]{weight=1000},fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do is a *{weight=1000}
[*] good [*],fuzzybot do is a *{weight=1000}
[*] good [*],fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @no [*]{weight=1000},fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do first message,[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
i like music,fuzzybot do make nice username{weight=1000}
fuzzybot do lang en wildcard{weight=1},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
[*] (@hello) [*],fuzzybot do hahaha
fuzzybot do onboarding ask user location,[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do is a *,[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do save location *,[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},tell me a [funny] joke
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do is a *{weight=1000}
fuzzybot do onboarding complete *,[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do is a [*] @naughty [*],fuzzybot do lang en wildcard{weight=1}
(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat),fuzzybot do you full
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do is a *
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@whatrequest) [*] (@forecast) [@nearplace] *{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},(5day|5 day|5-day|five day) forecast{weight=100}
*,[*] (@badwordsmiddleschool) [*]
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do make nice username{weight=1000}
* (@weatherword){weight=5},fuzzybot do lang en wildcard{weight=1}
* (@weatherword){weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(hair|frizz),fuzzybot do lang en wildcard{weight=1}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
* (@weatherword){weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],(@bye)
[*] (@goodbye) [*]{weight=1},[*] what is up [*]
(@no),[*] what is up [*]
fuzzybot do make nice username{weight=1000},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do is a *,[*] what is up [*]
[*] (@hello) [*],[*] what is up [*]
(@sureyes),[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},fuzzybot do lang en wildcard{weight=1}
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},(@weatherword) (@tomorrowterms) [@hereterms]{weight=5}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},(great|cool|awesome|ok|okay)
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],fuzzybot do make nice username{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do onboarding complete *
[*] what is up [*],fuzzybot do lang en wildcard{weight=1}
